Symbol	TestNum	SigNum	HarmonicP	SigProp	MR
si:ch73-132f6.5	1	1	0.006999000999001	1	1424.17239125044
zgc:154055	1	1	0.006999000999001	1	1424.17239125044
aep1	8	4	0.00833201697932994	0.5	1424.53781978577
slc25a28	24	5	0.00910939714553749	0.208333333333333	1424.79191463175
gatad2b	2	2	0.00749893855364069	1	1425.07192800925
zgc:112038	2	2	0.00749893855364069	1	1425.07192800925
ENSDARG00000041372	9	5	0.0091205802086034	0.555555555555556	1426.38564210385
spata5l1	3	1	0.00701501148012232	0.333333333333333	1429.07067704855
ENSDARG00000104856	2	1	0.00702873064690751	0.5	1430.29262740182
alyref	24	5	0.00916428950868274	0.208333333333333	1431.94971978767
usp18	3	2	0.00754349281491348	0.666666666666667	1432.68977800499
apom	6	2	0.00755403849877164	0.333333333333333	1433.23236078453
CABZ01075242.1	11	5	0.00917743793258885	0.454545454545455	1433.53548961998
c3a.2	2	1	0.00705765512771096	0.5	1433.95223072458
esm1	2	1	0.00705765512771096	0.5	1433.95223072458
f5	2	1	0.00705765512771096	0.5	1433.95223072458
fga	2	1	0.00705765512771096	0.5	1433.95223072458
kng1	2	1	0.00705765512771096	0.5	1433.95223072458
serpinf2b	2	1	0.00705765512771096	0.5	1433.95223072458
si:dkey-40c23.2	3	2	0.00758207893263627	0.666666666666667	1436.48355368239
slc43a3b	12	2	0.00758376821269332	0.166666666666667	1437.02470403261
znf410	24	4	0.00844424422581612	0.166666666666667	1439.35610604186
tm7sf3	17	5	0.00922305549670892	0.294117647058824	1439.46656786464
lrrfip2	23	5	0.00923478476561011	0.217391304347826	1441.43817071701
f2rl1.2	18	5	0.00924308135515042	0.277777777777778	1442.61983904284
serpinb1l1	3	1	0.00708615875313446	0.333333333333333	1443.66582005671
si:ch1073-165f9.2	11	5	0.00928502027519497	0.454545454545455	1444.980276682
tent5ba	24	4	0.00847724453830655	0.166666666666667	1445.5967625863
ascl1b	10	4	0.00849217019985199	0.4	1447.81904946716
sh3d19	14	4	0.0085099502489108	0.285714285714286	1450.03793053837
aldh7a1	24	5	0.00932160360740941	0.208333333333333	1450.47302629177
zgc:113314	23	5	0.00932683779069584	0.217391304347826	1451.2560077395
dcxr	3	2	0.0076732758649129	0.666666666666667	1451.55950618636
ywhaz	24	5	0.00932989006118979	0.208333333333333	1451.64734009332
wu:fj16a03	19	4	0.00854611817694328	0.210526315789474	1451.81059370704
si:dkey-221l4.10	6	3	0.0080273212645949	0.5	1454.11416333106
comta	3	1	0.00718221024818335	0.333333333333333	1455.11649018214
twf1b	15	5	0.00935383372865011	0.333333333333333	1455.16459550114
rabep2	10	2	0.00768580622221667	0.2	1455.30409193405
atp5if1b	24	5	0.0093698865069916	0.208333333333333	1456.3351262673
eif3hb	8	4	0.00860471110667415	0.5	1457.11564400359
tom1	15	5	0.0093756373336616	0.333333333333333	1457.5047169735
soul5	23	5	0.0093821439339867	0.217391304347826	1457.89437203112
rap1b	24	5	0.0093973962776065	0.208333333333333	1458.673369881
tsc22d2	24	5	0.00940888838405338	0.208333333333333	1459.45195193264
klf4	4	3	0.00808400697623197	0.75	1460.93873930429
cptp	21	5	0.00944732039200201	0.238095238095238	1462.5621354322
xpo4	4	1	0.00723747361367798	0.25	1463.49649811675
thtpa	2	1	0.00725415306331177	0.5	1467.07327697017
b3gnt7	14	4	0.00870528127670783	0.285714285714286	1467.23004331291
ormdl1	23	5	0.00951389874592817	0.217391304347826	1468.76274462556
ucp3	8	4	0.00874231068494447	0.5	1470.29452831737
ssr3	24	5	0.00955550525748784	0.208333333333333	1470.69507376614
ascc1	11	4	0.00874604529319395	0.363636363636364	1470.73179064029
slc4a4a	15	5	0.00955684643769021	0.333333333333333	1471.08123501049
rdh14b	10	2	0.00777060036699553	0.2	1471.77274060909
zgc:153867	24	5	0.00955942862989397	0.208333333333333	1471.85325355485
